time,CGM total mass,CGM gas mass,CGM particle mass,CGM2 total mass,CGM2 gas mass,CGM2 particle mass
1.49997e-01,2.49276e+10,2.49276e+10,0.00000e+00,4.22673e+10,4.22673e+10,0.00000e+00
1.99996e-01,2.49863e+10,2.49863e+10,0.00000e+00,4.24087e+10,4.24087e+10,0.00000e+00
2.49995e-01,2.47957e+10,2.47957e+10,0.00000e+00,4.23264e+10,4.23264e+10,0.00000e+00
2.99994e-01,2.45040e+10,2.45040e+10,0.00000e+00,4.21705e+10,4.21705e+10,0.00000e+00
3.49993e-01,2.41529e+10,2.41529e+10,0.00000e+00,4.19853e+10,4.19853e+10,0.00000e+00
3.99992e-01,2.37706e+10,2.37706e+10,0.00000e+00,4.18025e+10,4.18025e+10,0.00000e+00
4.49991e-01,2.33529e+10,2.33529e+10,9.02663e+03,4.16230e+10,4.16230e+10,9.02663e+03
4.99990e-01,2.28823e+10,2.28823e+10,9.02663e+03,4.14362e+10,4.14362e+10,9.02663e+03
5.49989e-01,2.23489e+10,2.23489e+10,9.02663e+03,4.12423e+10,4.12423e+10,9.02663e+03
5.99988e-01,2.17385e+10,2.17385e+10,1.66900e+04,4.10434e+10,4.10434e+10,1.66900e+04
6.49988e-01,2.10260e+10,2.10259e+10,1.31048e+05,4.08431e+10,4.08429e+10,1.31048e+05
6.99987e-01,2.01443e+10,2.01438e+10,4.39082e+05,4.06386e+10,4.06382e+10,4.39082e+05
7.49986e-01,1.89556e+10,1.89549e+10,6.78092e+05,4.04336e+10,4.04329e+10,6.78092e+05
7.99985e-01,1.76528e+10,1.76519e+10,9.43527e+05,4.02241e+10,4.02231e+10,9.43527e+05
8.49984e-01,1.64374e+10,1.64359e+10,1.48085e+06,4.00189e+10,4.00174e+10,1.48085e+06
8.99983e-01,1.53320e+10,1.53300e+10,2.01606e+06,3.97959e+10,3.97939e+10,2.01606e+06
9.49982e-01,1.43589e+10,1.43533e+10,5.63259e+06,3.95843e+10,3.95786e+10,5.63259e+06
9.99981e-01,1.34879e+10,1.34752e+10,1.27316e+07,3.93649e+10,3.93522e+10,1.27316e+07
1.04998e+00,1.27149e+10,1.26957e+10,1.91660e+07,3.91440e+10,3.91248e+10,1.91660e+07
1.09998e+00,1.19998e+10,1.19779e+10,2.18972e+07,3.88904e+10,3.88685e+10,2.18972e+07
1.14998e+00,1.13786e+10,1.13551e+10,2.35282e+07,3.86481e+10,3.86245e+10,2.35282e+07
1.19998e+00,1.08841e+10,1.08408e+10,4.33855e+07,3.84559e+10,3.84125e+10,4.33855e+07
1.24998e+00,1.04201e+10,1.03771e+10,4.30363e+07,3.82227e+10,3.81796e+10,4.30363e+07
1.29997e+00,9.97563e+09,9.93245e+09,4.31804e+07,3.79407e+10,3.78975e+10,4.31804e+07
1.34997e+00,9.59736e+09,9.55004e+09,4.73236e+07,3.76574e+10,3.76100e+10,4.73236e+07
1.39997e+00,9.30141e+09,9.23028e+09,7.11290e+07,3.73875e+10,3.73164e+10,7.11290e+07
1.44997e+00,9.00540e+09,8.93884e+09,6.65625e+07,3.70475e+10,3.69810e+10,6.65625e+07
1.49997e+00,8.69703e+09,8.63327e+09,6.37610e+07,3.66194e+10,3.65557e+10,6.37610e+07
1.54997e+00,8.41525e+09,8.34846e+09,6.67901e+07,3.60430e+10,3.59762e+10,6.67901e+07
1.59997e+00,8.15174e+09,8.08514e+09,6.65924e+07,3.50716e+10,3.50050e+10,6.65924e+07
1.64997e+00,7.86308e+09,7.81641e+09,4.66697e+07,3.37790e+10,3.37324e+10,4.66697e+07
1.69997e+00,7.63460e+09,7.58684e+09,4.77602e+07,3.25490e+10,3.25012e+10,4.77602e+07
1.74997e+00,7.44674e+09,7.39659e+09,5.01439e+07,3.14026e+10,3.13524e+10,5.01439e+07
1.79997e+00,7.24380e+09,7.18884e+09,5.49632e+07,3.02880e+10,3.02330e+10,5.49632e+07
1.84996e+00,7.13462e+09,7.07115e+09,6.34776e+07,2.93144e+10,2.92509e+10,6.34776e+07
1.89996e+00,7.07085e+09,7.00118e+09,6.96703e+07,2.84281e+10,2.83585e+10,6.96703e+07
1.94996e+00,6.99758e+09,6.92169e+09,7.58938e+07,2.75734e+10,2.74975e+10,7.58938e+07
1.99996e+00,6.85475e+09,6.77519e+09,7.95626e+07,2.67146e+10,2.66351e+10,7.95626e+07
2.04996e+00,6.68941e+09,6.60611e+09,8.32961e+07,2.59228e+10,2.58395e+10,8.32961e+07
2.09996e+00,6.45334e+09,6.36759e+09,8.57470e+07,2.51524e+10,2.50666e+10,8.57470e+07
2.14996e+00,6.08915e+09,6.00095e+09,8.81941e+07,2.43402e+10,2.42520e+10,8.81941e+07
2.19996e+00,5.74614e+09,5.65384e+09,9.22976e+07,2.35871e+10,2.34948e+10,9.22976e+07
2.24996e+00,5.44441e+09,5.34765e+09,9.67596e+07,2.28832e+10,2.27864e+10,9.67596e+07
2.29996e+00,5.19089e+09,5.08993e+09,1.00952e+08,2.22145e+10,2.21136e+10,1.00952e+08
2.34995e+00,4.94146e+09,4.83738e+09,1.04074e+08,2.15441e+10,2.14400e+10,1.04074e+08
2.39995e+00,4.76463e+09,4.65927e+09,1.05353e+08,2.09492e+10,2.08438e+10,1.05353e+08
2.44995e+00,4.66709e+09,4.55859e+09,1.08501e+08,2.04554e+10,2.03469e+10,1.08501e+08
2.49995e+00,4.58063e+09,4.46647e+09,1.14156e+08,1.99981e+10,1.98839e+10,1.14156e+08
2.54995e+00,4.46521e+09,4.34254e+09,1.22669e+08,1.95485e+10,1.94259e+10,1.22669e+08
2.59995e+00,4.30158e+09,4.17155e+09,1.30030e+08,1.91147e+10,1.89847e+10,1.30030e+08
2.64995e+00,4.13334e+09,3.99707e+09,1.36268e+08,1.87221e+10,1.85858e+10,1.36268e+08
2.69995e+00,3.95645e+09,3.81360e+09,1.42848e+08,1.83507e+10,1.82078e+10,1.42848e+08
2.74995e+00,3.68783e+09,3.54355e+09,1.44279e+08,1.79243e+10,1.77801e+10,1.44279e+08
2.79995e+00,3.39769e+09,3.25552e+09,1.42163e+08,1.74974e+10,1.73552e+10,1.42163e+08
2.84995e+00,3.10361e+09,2.96393e+09,1.39681e+08,1.70573e+10,1.69177e+10,1.39681e+08
2.89994e+00,2.84188e+09,2.70539e+09,1.36483e+08,1.66307e+10,1.64942e+10,1.36483e+08
2.94994e+00,2.64662e+09,2.51189e+09,1.34726e+08,1.62472e+10,1.61124e+10,1.34726e+08
2.99994e+00,2.49982e+09,2.36639e+09,1.33429e+08,1.58951e+10,1.57617e+10,1.33429e+08
3.04994e+00,2.39222e+09,2.25550e+09,1.36719e+08,1.55755e+10,1.54388e+10,1.36719e+08
3.09994e+00,2.32557e+09,2.18253e+09,1.43043e+08,1.52930e+10,1.51499e+10,1.43043e+08
3.14994e+00,2.28673e+09,2.13682e+09,1.49908e+08,1.50347e+10,1.48847e+10,1.49908e+08
3.19994e+00,2.28517e+09,2.13010e+09,1.55070e+08,1.47985e+10,1.46434e+10,1.55070e+08
3.24994e+00,2.27207e+09,2.11314e+09,1.58931e+08,1.45380e+10,1.43791e+10,1.58931e+08
3.29994e+00,2.23606e+09,2.07640e+09,1.59658e+08,1.42268e+10,1.40671e+10,1.59658e+08
3.34994e+00,2.20347e+09,2.03563e+09,1.67833e+08,1.38902e+10,1.37224e+10,1.67833e+08
3.39993e+00,2.13352e+09,1.96462e+09,1.68896e+08,1.34944e+10,1.33255e+10,1.68896e+08
3.44993e+00,2.04214e+09,1.87136e+09,1.70778e+08,1.30665e+10,1.28957e+10,1.70778e+08
3.49993e+00,1.99344e+09,1.82829e+09,1.65158e+08,1.26761e+10,1.25109e+10,1.65158e+08
3.54993e+00,1.97767e+09,1.81308e+09,1.64584e+08,1.23049e+10,1.21403e+10,1.64584e+08
3.59993e+00,1.96217e+09,1.79529e+09,1.66879e+08,1.18993e+10,1.17325e+10,1.66879e+08
3.64993e+00,1.94253e+09,1.77426e+09,1.68264e+08,1.14484e+10,1.12802e+10,1.68264e+08
3.69993e+00,1.88798e+09,1.71598e+09,1.72003e+08,1.09320e+10,1.07600e+10,1.72003e+08
3.74993e+00,1.85289e+09,1.67826e+09,1.74625e+08,1.04211e+10,1.02464e+10,1.74625e+08
3.79993e+00,1.85543e+09,1.67678e+09,1.78647e+08,9.94038e+09,9.76173e+09,1.78647e+08
3.84993e+00,1.84570e+09,1.66360e+09,1.82105e+08,9.45905e+09,9.27695e+09,1.82105e+08
3.89993e+00,1.82871e+09,1.64642e+09,1.82286e+08,8.99963e+09,8.81735e+09,1.82286e+08
3.94992e+00,1.84377e+09,1.66146e+09,1.82310e+08,8.60415e+09,8.42184e+09,1.82310e+08
3.99992e+00,1.81990e+09,1.63881e+09,1.81095e+08,8.20131e+09,8.02022e+09,1.81095e+08
3.99992e+00,1.81990e+09,1.63881e+09,1.81095e+08,8.20131e+09,8.02022e+09,1.81095e+08
