noramp_times,noramp_cumulative_star_count
0.000000e+00,0.000000e+00
4.999885e-02,0.000000e+00
9.999782e-02,0.000000e+00
1.499967e-01,0.000000e+00
1.999958e-01,9.717636e+07
2.499948e-01,8.606762e+07
2.999938e-01,1.655158e+08
3.499929e-01,2.695241e+08
3.999919e-01,2.604516e+08
4.499910e-01,2.600651e+08
4.999900e-01,4.219574e+08
5.499891e-01,5.197904e+08
5.999881e-01,6.113672e+08
6.499871e-01,8.057979e+08
6.999862e-01,9.951470e+08
7.499853e-01,9.768720e+08
7.999843e-01,9.750004e+08
8.499834e-01,9.745524e+08
8.999824e-01,9.743975e+08
9.499815e-01,9.743344e+08
9.999805e-01,1.016485e+09
1.049980e+00,1.153269e+09
1.099979e+00,1.173349e+09
1.149978e+00,1.284729e+09
1.199977e+00,1.391630e+09
1.249976e+00,1.445332e+09
1.299975e+00,1.498049e+09
1.349974e+00,1.510910e+09
1.399973e+00,1.604023e+09
1.449972e+00,1.665158e+09
1.499971e+00,1.911442e+09
1.549970e+00,2.059095e+09
1.599969e+00,2.192228e+09
1.649968e+00,2.303430e+09
1.749966e+00,2.393712e+09
1.799965e+00,2.388687e+09
1.849964e+00,2.387189e+09
1.899963e+00,2.386590e+09
1.949962e+00,2.386307e+09
1.999962e+00,2.386159e+09
2.049961e+00,2.386077e+09
2.099960e+00,2.386029e+09
2.149959e+00,2.386000e+09
2.199958e+00,2.385982e+09
2.249957e+00,2.385970e+09
2.299956e+00,2.385963e+09
2.349955e+00,2.385957e+09
2.399954e+00,2.385954e+09
2.449953e+00,2.385952e+09
2.499952e+00,2.385950e+09
2.549951e+00,2.385949e+09
2.599950e+00,2.385948e+09
2.649949e+00,2.385948e+09
2.699948e+00,2.385947e+09
2.749947e+00,2.385947e+09
2.799946e+00,2.385947e+09
2.849945e+00,2.385947e+09
2.899944e+00,2.385947e+09
2.949943e+00,2.385947e+09
2.999942e+00,2.385946e+09
3.049942e+00,2.385946e+09
3.099941e+00,2.385946e+09
3.149940e+00,2.385946e+09
3.199939e+00,2.385946e+09
3.249938e+00,2.385946e+09
3.299937e+00,2.409060e+09
3.349936e+00,2.410308e+09
3.399935e+00,2.437486e+09
3.449934e+00,2.473071e+09
3.499933e+00,2.499500e+09
3.549932e+00,2.517449e+09
3.599931e+00,2.558021e+09
3.649930e+00,2.582331e+09
3.699929e+00,2.597118e+09
3.749928e+00,2.620064e+09
3.799927e+00,2.645059e+09
3.849926e+00,2.650463e+09
3.899925e+00,2.671691e+09
3.949924e+00,2.672261e+09
3.999923e+00,2.692149e+09
3.999924e+00,2.692149e+09
